"날짜","평균강수량","최대강수량","평균기온","최고기온","최저기온","평균습도","최저습도","평균풍속","최대풍속","건고추가격","건고추거래량","배추가격","배추거래량","대파가격","대파거래량","마늘가격","마늘거래량","무가격","무거래량"
"2014-01-22",0,0,-2.7,3.4,-8,60,11,2,15.7,0,0,330.5440008,401.23,1002.515486,277.03,2355.274786,27.11,249.686396,630.09
"2014-01-23",0,0.1,-1,7.1,-7.5,62,12,1.3,10.8,5850,5,315.6433995,492.54,989.7477102,313.13,2305,14.34,251.1838565,622.96
"2014-01-24",0,0,4,10.7,-3.5,66,23,1.9,11.3,0,0,327.110193,487.95,955.5078558,342.42,2396.097276,34.29,260.1910079,586.78
"2014-01-25",1.9,9,6.2,10.6,1.4,79,38,2.1,14.8,0,0,349.8872415,413.72,828.347591,410.54,2551.934468,19.04,264.8752786,655.06
"2014-01-26",0.2,9.5,0.4,5.6,-4.1,56,8,2.5,14.3,0,0,0,0,0,0,0,0,0,0
"2014-01-27",0,0,0.7,8.9,-7,56,8,1.7,14.2,0,0,389.3014508,600.52,786.8908046,372,1638.866394,117.11,263.1023335,858.7
"2014-01-28",0.1,1.3,3,9.3,-3.1,57,11,2.2,12.3,0,0,373.389362,381.29,881.7831077,394.33,2616.798,23,257.3672854,1013.11
"2014-01-29",0.7,8.4,3,11.5,-6.4,51,5,1.4,12.4,0,0,440.8396034,230.06,936.4961707,368.08,1774.998497,26.61,250.0803352,758.07
"2014-01-30",1.1,5.1,6.1,10.2,1.7,73,13,2.3,14,0,0,595.9136411,13.39,940.9384563,119.28,0,0,233.0450813,252.79
"2014-01-31",0,0,3.1,10.8,-3.1,51,4,1.4,9.2,0,0,0,0,0,0,0,0,0,0
"2014-02-01",6,24.5,7.5,13.4,1,69,19,1.7,11.6,0,0,0,0,0,0,0,0,0,0
"2014-02-02",0.4,2,8.9,14.2,5.1,84,16,1.9,13,0,0,0,0,0,0,0,0,0,0
"2014-02-03",0,3.9,1.8,7.3,-4.5,50,9,3.6,17.7,0,0,384.7736275,310.79,947.078714,270.33,2333.938036,25.66,234.6941493,473.07
"2014-02-04",0,15.1,-4.9,-0.7,-8.1,35,9,3.7,20.5,0,0,345.098246,374.57,908.7402203,205.53,2099.553886,15.31,222.5799006,420.27
"2014-02-05",0,2.2,-3.8,1.4,-8.1,40,11,1.7,11.1,0,0,352.9397058,307.99,903.9495261,190.75,2054.140915,8.09,219.4540002,344.76
"2014-02-06",0.3,36.2,-0.5,4.5,-4.8,52,13,1.7,10.3,0,0,318.2430002,259.61,968.9582571,191.22,2333.17995,16.06,242.2040392,310.06
"2014-02-07",2.8,35.5,2.6,6.7,-1.8,66,32,2.6,9.5,0,0,348.8580314,302.9,927.9868103,255.65,4364.891082,41.04,233.2867281,406.96
"2014-02-08",3.2,21.5,2.2,4.6,0.4,81,39,2.3,15.8,0,0,320.2464754,455.3,900.7453088,314.42,2315.907001,9.57,255.1584566,362.69
"2014-02-09",3.2,44.6,0.4,3.3,-1.3,76,35,2.5,16.4,0,0,0,0,0,0,0,0,0,0
"2014-02-10",2.2,44.2,0.1,3.4,-2.6,72,32,2.4,12.8,0,0,317.1577418,636.71,955.79308,323.41,2198.756419,15.19,287.2045548,472.47
"2014-02-11",0.6,14.4,0.1,5.3,-4.2,63,23,2.1,9.6,0,0,269.1150035,504.69,955.1539338,292.3,2174.481525,13.69,325.0778416,513.86
"2014-02-12",0.4,9.1,0.9,6.5,-3.3,65,26,1.7,9.1,0,0,328.3918253,368.11,1029.971994,309.93,2140.045783,12.45,331.1676817,731
"2014-02-13",2.1,40.1,1.6,6,-2.7,68,26,2,11.1,0,0,285.0901438,453.78,969.3754586,316.17,2139.788669,11.12,294.8055461,887.33
"2014-02-14",0.2,5.4,1.9,6,-1.6,63,26,2.3,11.2,0,0,267.2632007,371.59,885.3617943,306.67,2178.802407,19.61,251.8055507,801.2
"2014-02-15",0,1,1.7,8.9,-4.1,62,15,1.6,11.6,5970.441176,5.1,264.532134,260.71,849.2813519,264.27,2030.01956,12.27,208.875774,655.4
"2014-02-16",0,0,2.7,10.1,-3.9,62,11,1.2,7.4,0,0,0,0,0,0,0,0,0,0
"2014-02-17",2.5,32,4.1,8.3,0.7,66,20,2,13.2,0,0,300.6457653,460.38,845.8298493,307.12,2395.767327,18.18,230.5542461,555.78
"2014-02-18",0.5,8.5,2.4,5.6,-0.7,61,28,2.8,10.7,0,0,279.5407964,356.66,811.1006096,270.65,2372.656974,22.01,243.915033,415.22
"2014-02-19",0.1,2.1,1.6,6.7,-2.8,60,22,1.8,9,0,0,360.1531653,276.56,802.3263964,275.63,2129.415094,12.19,245.5145931,457.82
"2014-02-20",0,9.2,1.5,7.5,-3.8,64,13,1.8,12.5,0,0,319.3657533,381.56,966.361898,197.68,2242.813382,22.69,237.8043867,585.69
"2014-02-21",0,9.6,1.1,7.9,-4.4,57,5,1.7,11.8,0,0,296.6200483,475.49,811.3405223,319.56,1976.583398,14.25,243.3045133,522.32
"2014-02-22",0,2.4,1.8,9.2,-4.5,61,14,1.4,8.8,0,0,310.1292342,362.29,819.7616242,246.12,2131.121815,12.56,244.6984364,541.31
"2014-02-23",0,1.8,2.9,10.4,-3.3,62,15,1.3,7.4,0,0,0,0,0,0,0,0,0,0
"2014-02-24",0,6.5,4.2,12,-2.5,61,19,1.3,7.8,0,0,251.7488625,679.11,838.5508109,326,1878.618708,22.45,247.6717866,647.66
"2014-02-25",0,0.2,5.6,13.6,-1.3,61,18,1.3,6.7,0,0,297.7133897,329.08,874.4730498,263.82,2176.60716,20.95,260.172842,530.66
"2014-02-26",4.1,57.8,6.2,11.5,1.2,72,18,1.4,11.5,8734.375,0.03,281.7077825,553.96,911.4264565,289.77,2135.27245,22.26,287.5472963,656.5
"2014-02-27",0.2,3.3,8.6,15.5,3.4,68,18,1.9,11.4,0,0,371.7501489,240.07,873.3858149,332.69,1919.326624,22.16,315.4081706,610.68
"2014-02-28",0.1,3.7,7.1,11.8,3.1,68,28,1.9,10.5,0,0,279.1999786,458.8,839.2680963,352.31,2830.077963,24.56,355.5318353,550.21
"2014-03-01",2.1,31.9,6.6,9.8,4,76,30,1.5,12.1,0,0,300.413934,438.21,804.548925,302.56,2019.439386,16.04,330.1303826,622.94
"2014-03-02",0.6,16.5,5,10.5,0.4,59,11,2.5,15.3,0,0,0,0,0,0,0,0,0,0
"2014-03-03",0,0,4.3,11.6,-2.4,52,11,1.6,8.4,0,0,314.5845172,589.52,829.652622,317.46,2351.218259,30.17,335.4702319,737.64
"2014-03-04",0.2,26.6,5.1,11.4,-1.1,57,14,1.5,10.3,6000,0.01,118.5610507,1388.67,928.5608662,279.02,2373.774501,23.06,353.5621182,708.12
"2014-03-05",0.7,15.1,3.1,8,-0.7,45,7,3.7,16.7,0,0,286.8965052,613.63,1078.28741,276.49,1911.595393,28.95,356.4101809,741.49
"2014-03-06",0,0.3,1.4,6.5,-4.1,39,10,2.7,13.3,9611.428571,0.14,268.3819171,490.94,1058.40715,326.74,2059.539486,21.32,343.2514508,687.9
"2014-03-07",0,0.2,1.3,6.3,-3.8,35,8,3,14,12833.33333,0.02,266.6026191,496.82,936.3115111,335.1,2016.281968,38.44,328.0128957,758.39
"2014-03-08",0,0.4,2.4,8.2,-3.2,46,10,2.1,8.9,10000,0.04,291.9016151,365.75,887.9310029,360.25,2110.553206,28.85,303.8502079,791.23
"2014-03-09",1.3,5.8,2.5,7.2,-1.5,52,10,3,16.3,0,0,0,0,0,0,0,0,0,0
"2014-03-10",0,0,2,8.8,-4.4,45,10,2.3,15.3,8235.416667,0.05,268.5273284,586.99,933.6391832,323.97,2217.837175,23.65,295.4638031,904.39
"2014-03-11",0,0,5,13.6,-3.6,48,8,2,12.5,10500,0.02,267.0418192,479.95,973.3584981,352.88,2109.845674,94.67,290.1483914,732.52
"2014-03-12",23,55,5.8,9.3,0.5,79,11,1.5,14.4,0,0,253.7472055,605.65,1022.670869,301.12,2027.970675,57.63,302.1396003,699.2
"2014-03-13",8.8,37.5,4.2,7.6,1.4,80,31,3,21.3,6924.242424,0.13,272.1990774,455.44,983.7500738,305,2268.141709,22.14,319.9635862,698.64
"2014-03-14",0.3,4.5,3.3,8.4,-0.9,66,21,2.1,17.2,9333.333333,0.01,283.4634317,322.4,1013.362166,322.44,2043.11701,30.82,316.2294624,701.76
"2014-03-15",0,0,6.9,14.1,-1.4,59,16,2.6,13.5,6790.697674,0.04,284.6652431,376.99,907.2402508,261.87,2132.542715,17.32,290.0002109,568.96
"2014-03-16",0,0,10.6,18,4.2,62,14,2.2,14.5,0,0,0,0,0,0,0,0,0,0
"2014-03-17",1.3,26.5,12.4,20.1,3.8,71,18,2.5,16.1,5076.923077,0.03,258.0951181,845.58,1004.475726,290.41,2154.610512,87.78,291.604363,758.38
"2014-03-18",0.5,13.5,12.6,18.3,7.4,67,13,3.1,14.6,0,0,231.6735908,658.67,918.891576,367.26,2610.321873,27.43,297.0822535,730.22
"2014-03-19",0.1,2.5,9,12.6,5.8,64,29,2,11.6,0,0,260.2434328,421.68,816.5271807,321.92,2204.71399,19.81,291.0260356,695.36
"2014-03-20",2.7,17.5,6.4,10.7,3,69,20,3,24.2,0,0,250.3483162,547.2,683.0036142,395.94,2143.974935,62.56,288.7684102,780.68
"2014-03-21",0,0.5,5,10.4,0.5,59,17,2.6,21,8833.333333,0.04,246.9826239,516.4,660.58483,366.38,2088.242944,24.38,294.3042738,776.04
"2014-03-22",0,0,7.6,15.6,-1,58,14,1.9,8.9,9000,0.1,231.8156504,359.02,564.3287653,298.23,1972.464079,32.03,273.4379645,603.67
"2014-03-23",0,0,10.2,18.3,2.4,52,10,2,10.4,0,0,0,0,0,0,0,0,0,0
"2014-03-24",0,0.1,11.2,18.1,2.2,50,6,2.3,12.6,8845.454545,0.11,271.3100847,579.26,669.5225036,328.77,2066.628044,74.69,260.6609653,694.92
"2014-03-25",9.3,35.5,14.2,18.1,11.2,72,20,1.8,13.5,0,0,275.200263,599.29,962.9707414,259.79,2062.521427,26.72,287.8723266,615.32
"2014-03-26",8.9,26,13.8,19,9.5,80,13,1.6,10.3,0,0,254.2828588,449.76,905.2298554,339.58,2247.594741,20,327.1527775,548.94
"2014-03-27",0,0,12.7,20.6,6.4,71,12,1.6,9.1,5435.294118,0.03,283.5634792,440.92,739.5273922,315.15,2042.072629,129.16,360.918006,496.71
"2014-03-28",0,1.5,15.7,24.1,7.6,59,10,1.9,13.8,3666.666667,0.02,270.1972217,505.62,805.2645824,249.39,2085.972299,86.86,403.2185012,342.44
"2014-03-29",10.7,70,14.2,17.2,11.7,82,23,1.9,14.8,3952.941176,0.03,280.0274959,434.25,605.9968603,333.79,2123.948889,24.57,329.6227773,821.03
"2014-03-30",3.8,20,12.7,18,8.2,73,26,2.6,17.6,0,0,0,0,0,0,0,0,0,0
"2014-03-31",0,0,12,19.8,5.5,66,11,1.4,7.8,8254.385965,0.06,290.3031896,652.85,578.7871381,386.27,2108.978112,81.87,330.8076385,764.19
"2014-04-01",0,0,13.2,21.8,5.3,56,9,1.5,7.1,0,0,262.675076,561.44,769.0202381,288.42,2085.961333,28.14,298.765146,612.7
"2014-04-02",0,0,14.3,22.6,6.3,48,11,1.6,9.4,8333.333333,0.05,228.171841,642.37,747.7748195,291.46,1899.601529,28.26,313.1483523,678.41
"2014-04-03",4.9,34,10.7,18.1,5,62,12,2.4,18.6,0,0,242.1612963,470.7,667.8538508,318.09,2034.42234,45.64,297.6470003,743.43
"2014-04-04",0.8,14.5,7,11.9,2.8,54,14,3,22.7,6477.981651,5.45,254.3051684,529.04,665.7243857,320.34,2273.325343,22.95,256.0238105,746.9
"2014-04-05",0.6,6.5,6.2,12.3,1.2,59,12,2.6,20.8,0,0,286.422383,355.97,620.3007321,308.41,2165.857831,19.53,239.5899855,570.61
"2014-04-06",0,1.5,8,13.9,2.5,44,10,3.3,19.8,0,0,0,0,0,0,0,0,0,0
"2014-04-07",0,0,11.6,19.2,3.9,47,10,2.8,12.5,8535.353535,0.2,268.9190164,594.69,694.1661674,327.47,2391.172855,32.56,293.9555382,626.9
"2014-04-08",0,0,12.2,20.7,3.9,47,8,1.8,9.9,0,0,259.1210384,687.13,843.2418817,261.63,2578.249196,24.88,319.8034088,616.76
"2014-04-09",0,0,12.9,20.9,4.9,59,8,1.8,9.2,0,0,254.8042926,570.01,870.9123463,282.33,2295.591977,25.15,306.9787772,715.64
"2014-04-10",0,0,12.8,20.7,7,61,9,2.3,11.5,0,0,230.8607242,613.34,753.0835276,295.6,2533.676935,36.1,303.3391057,646.76
"2014-04-11",0.1,1,12.3,17.8,7.8,62,16,1.7,9.4,0,0,232.4731528,578.65,574.8275041,306.73,2421.733527,24.06,303.2161543,608.93
"2014-04-12",0.1,10,13.4,18.1,9.4,66,19,1.4,7.9,7333.333333,0.06,298.0499823,327.76,525.3928954,298.4,2392.929816,19.52,289.574355,528.59
"2014-04-13",2.4,22,13.5,19.3,8.5,68,11,1.8,11,0,0,0,0,0,0,0,0,0,0
"2014-04-14",0,0,13.7,22.5,5,53,11,1.9,9.2,0,0,286.7296055,756.18,499.1743861,340.16,2319.803368,30.82,333.8324915,563.48
"2014-04-15",0,0,16,23.6,7.5,57,15,2.4,11.3,0,0,277.6575554,715.53,634.8555257,292.41,2639.239638,31.92,370.5214249,519.77
"2014-04-16",0,2.4,16.3,23,11,60,12,2,9.8,6666.666667,0.02,222.4871204,445.09,617.3367569,249.44,2264.972829,30.36,376.4071231,603.11
"2014-04-17",12.5,34,13.4,20.5,7.7,68,8,1.8,11.2,0,0,216.6623547,504.8,649.2142778,215.5,2249.141,30.31,423.3302494,611.77
"2014-04-18",0.7,6,13.5,18.4,10.2,76,16,1.9,8.9,0,0,234.2414256,405.39,764.8454609,197.81,2003.393512,31.63,347.5133226,826.04
"2014-04-19",0,4.8,12.5,16.3,9.1,61,27,2.7,11.7,0,0,276.4418459,272.97,867.9702733,181.66,2464.893526,21.04,307.8678551,475.69
"2014-04-20",0,8,13.6,19.9,8.5,56,23,2.2,10.2,0,0,0,0,0,0,0,0,0,0
"2014-04-21",0,0,15,21.9,8.3,56,12,2,11.2,0,0,209.8136529,657.91,765.3901214,254.41,2461.614771,39.89,324.8883013,624
"2014-04-22",0,0,14.9,22,8.6,47,10,1.9,9.7,9444.444444,0.06,234.4486768,422.67,654.5202226,243.81,2281.848501,26.09,324.4837953,529.2
"2014-04-23",0,0,15.4,24.2,6.7,48,8,1.7,9.2,7666.666667,0.06,209.7399056,578.79,514.252844,293.25,2631.641637,31.91,332.4563085,666.47
"2014-04-24",0,0,16.6,25.2,8.5,48,10,1.6,8.1,6333.333333,0.07,204.9825899,470.36,426.4795728,241.2,2301.763767,26.93,338.4193143,640.36
"2014-04-25",0,0,17.1,25.8,8.4,43,11,1.5,8.6,0,0,226.3230104,357.59,425.6367057,216.35,2222.224903,32.74,329.1273934,622.14
"2014-04-26",0,6.5,17.1,23.7,9.8,50,13,1.6,10.7,0,0,256.2992848,271.53,451.1341926,193.04,2324.129088,33.73,309.2346207,540.45
"2014-04-27",12.1,74.5,15.6,18.8,13.3,78,23,1.8,17.2,0,0,0,0,0,0,0,0,0,0
"2014-04-28",27.2,110.5,13.6,15.4,12.4,88,44,3,12.9,0,0,217.0888412,595.43,904.0638412,195.49,2404.805203,30.75,318.3505955,718.91
"2014-04-29",23.2,180.4,14.2,17,12.1,85,1,2.4,12.7,0,0,226.1885958,419.88,967.6779375,206.2,2249.946743,33.05,341.9873475,618.06
"2014-04-30",1.1,13,14.5,19.3,11.1,77,26,1.7,12,0,0,197.3415737,641.36,939.0258798,176.12,2486.850859,30.03,321.3773606,655.56
"2014-05-01",0,1,16.3,23,10,66,23,2,8.8,0,0,182.1445295,492.45,1114.418119,203.1,2412.313555,19.62,322.8455825,658.9
"2014-05-02",0.2,1.8,17.4,25.8,10.1,61,15,2.8,13.8,0,0,205.8822302,532.16,820.4872743,299.71,2036.919642,40.53,337.4416238,696.56
"2014-05-03",0,0,14.4,20.9,9,48,9,3.3,15.3,0,0,274.4125226,338.4,771.0096293,310.51,2011.826067,25.71,380.6281234,467.84
"2014-05-04",1.2,10.5,13.3,20.5,7.6,58,12,2.4,14.6,0,0,0,0,0,0,0,0,0,0
"2014-05-05",0.1,2,11.6,17.2,6.3,47,10,3.3,14.5,0,0,295.3349907,531.36,722.9659303,336.52,2378.671405,33.91,402.6951903,814.15
"2014-05-06",0,0.2,12.7,19.8,5.6,47,12,2.2,10.8,0,0,299.9627941,464.44,707.3311928,225.81,1951.935962,42.8,398.8115937,613.09
"2014-05-07",0.3,7,15.3,22.7,6.2,49,10,2.6,13.9,0,0,246.1652207,738.29,577.3739165,256.69,2055.433235,125.97,379.5062156,664.46
"2014-05-08",2.7,15,15.4,20.6,10.6,69,12,2.9,13,0,0,243.5345895,594.52,608.2671888,256.64,2181.253161,36.78,365.574069,699.61
"2014-05-09",0,0,15.5,23.4,8.3,60,14,1.8,8.8,10500,0.02,226.247312,624.06,621.9442669,283.24,2454.191548,30.53,349.3996551,748.07
"2014-05-10",0,0,17.2,24.7,9.2,49,12,2.2,16.2,0,0,268.6263262,336.11,522.7484273,293.77,2188.864669,47.3,341.7620421,569.29
"2014-05-11",18.5,92.5,17.3,23.2,11.1,61,17,3.2,22.3,0,0,0,0,0,0,0,0,0,0
"2014-05-12",15.6,118.5,17.9,22.4,14.2,69,25,3.3,16.4,0,0,234.6510282,715.2,622.3053526,294.58,1861.009314,77.3,351.0236973,977.24
"2014-05-13",0,0,20.1,27.4,12,59,13,2.6,13.6,0,0,220.3048067,610.35,681.0004136,241.78,1879.410956,100.64,316.1685252,914.33
"2014-05-14",1.6,16,18.5,23.6,14.4,64,10,1.9,13.4,0,0,214.2656912,699.96,637.3070677,263.06,1727.150336,109.03,283.9685377,869.99
"2014-05-15",0,3.3,18.6,24.5,14,56,12,3,14.6,0,0,215.3670793,641.8,592.3663131,267.9,1772.18773,57.16,284.9140236,637.56
"2014-05-16",0,0,19,26.1,11.7,49,12,2.3,10.5,7300,0.005,219.8469988,540.19,541.5576633,253.66,1837.886463,42.68,280.5086777,642.45
"2014-05-17",0,0,18.7,25.9,12.1,56,10,1.7,8.5,0,0,236.7364923,355.65,557.1151551,245.47,1873.685168,53.33,332.7730026,449.32
"2014-05-18",0,0,18.6,25.8,11.6,60,10,1.6,7,0,0,0,0,0,0,0,0,0,0
"2014-05-19",0,0,19.4,26.8,11.8,58,10,1.6,8.6,0,0,246.0628236,671.25,646.1590362,262.04,1620.666611,204.69,296.3562345,958.36
"2014-05-20",4.5,83.9,18.4,23,14.8,70,13,1.4,10.4,0,0,231.8503438,708.06,686.8736543,261.95,1478.910713,151.37,301.0546286,824.92
"2014-05-21",0,18.5,18.4,24.7,13.2,69,15,2.3,10.3,0,0,222.9263891,700.96,689.5025032,251.48,1709.456337,54.7,273.8884225,779.01
"2014-05-22",0,0.5,19.5,27,12.7,67,16,1.9,8.3,7787.261146,0.16,183.9526605,669.67,744.4223512,224.7,1662.152518,92.65,264.5650655,563.88
"2014-05-23",0,1.5,19.2,24.1,15.4,74,34,1.9,10.3,10333.33333,0.04,235.7622428,665.65,688.6656296,248.13,1458.843169,123.97,271.9486508,554.98
"2014-05-24",0,0.3,21.8,28.6,15.4,68,16,1.9,9.7,5400,0.02,210.8964479,321.56,674.4987159,242.2,1219.740675,109.65,314.2060358,398.03
"2014-05-25",7.7,145,20.5,25,17.6,74,26,2.5,15.2,0,0,0,0,0,0,0,0,0,0
"2014-05-26",2.3,19.5,20.5,26,15.3,59,16,2.9,12.9,0,0,239.6510682,829.5,829.1872434,241.13,1487.910446,149.83,298.7941234,793.12
"2014-05-27",0,0,22,29.5,13.5,48,13,2.8,13.4,6275.925926,5.4,225.6797841,625.5,1132.949138,216,1346.851056,105.12,299.9682067,758.27
"2014-05-28",1.2,25.5,21.6,28.4,16,65,17,2.3,13.2,0,0,199.918001,690.13,906.7976717,244.65,1210.468376,156.97,313.2475934,678.56
"2014-05-29",0,0,22.8,31.1,15.5,60,10,1.8,9.5,0,0,211.3066864,534.32,821.4695559,262.12,1475.201028,93.42,326.1527359,630.5
"2014-05-30",0,0,23.6,32.1,15.2,51,9,1.7,10,0,0,195.4681765,577.56,733.5627354,250.35,1548.474879,103.84,327.4267939,511.77
"2014-05-31",0,0.1,24.3,32.4,16.3,55,9,1.7,9,0,0,245.720408,307.54,624.0270935,225.52,1512.456771,81.54,387.2914926,366.34
"2014-06-01",0,0.1,23.9,29.9,18.3,60,14,1.4,8.6,0,0,0,0,0,0,0,0,0,0
"2014-06-02",5.9,191,20.9,24.2,18,72,20,2.4,26.4,0,0,255.2092211,620.49,838.5148856,220.41,1502.641408,166.81,376.2408316,731.32
"2014-06-03",19.8,86.5,19.1,21.3,17.2,86,31,2.4,14.7,0,0,255.0165518,763.36,1188.454514,219.45,1754.754894,76.48,441.6596973,614.59
"2014-06-04",3.1,22,21.1,25.3,18.3,72,35,2.8,8.5,0,0,232.2552373,554.53,913.4985203,236.54,1601.177171,48.69,380.9174123,759.27
"2014-06-05",1.2,17.5,20.7,23.8,18.2,72,40,2.2,9.5,0,0,226.566385,652.83,855.5255865,211.81,1517.20554,64.04,429.0418123,556.58
"2014-06-06",0,1.5,21.4,27.4,16.5,67,14,1.7,8.3,0,0,244.9397899,596.5,784.5434157,232.3,1680.217819,56.38,426.0057797,643.63
"2014-06-07",0.2,6,21,26.6,15.8,72,29,1.8,8.5,0,0,258.2366104,484.44,933.9635136,198.43,1746.208621,54.98,330.6646653,620.25
"2014-06-08",0.7,9,20.6,25,17.9,77,35,1.8,6.7,0,0,0,0,0,0,0,0,0,0
"2014-06-09",0.9,14.5,20.9,25.4,17.9,77,24,1.8,7.5,0,0,281.9485383,784.25,966.0586451,276.6,1875.814236,113.61,353.725365,734.71
"2014-06-10",4,47.5,21,25.4,18,77,31,2,7.6,7333.333333,0.02,311.2189289,765.98,896.9300492,283.54,1900.333637,69.24,368.3932408,631.67
"2014-06-11",4.8,49.5,20.4,25.2,17.6,78,30,2,8.5,0,0,303.3464944,791.22,830.5377868,255.47,1850.891033,89.66,331.0808074,716.09
"2014-06-12",7.2,78.5,19.4,24.3,16,79,27,1.7,9.7,0,0,321.6879285,841.49,743.4375596,241.33,2035.150441,66.01,322.308298,576.55
"2014-06-13",1,9.5,20.3,25.4,16.3,78,33,1.9,8.4,0,0,312.7994101,777.7,731.5206681,218.4,1878.6408,46.52,301.9334433,541.91
"2014-06-14",0,0.1,22.1,28.2,16.7,70,21,1.9,7.6,0,0,308.4049168,459.65,763.273399,216.13,2075.261035,45.88,309.5991339,587.43
"2014-06-15",0,0,22.6,28.7,17,65,21,2.1,8.9,0,0,0,0,0,0,0,0,0,0
"2014-06-16",0,3.6,23.3,29.6,17.4,63,22,1.8,7.6,0,0,359.0170363,767.3,781.4610224,273.64,1952.917898,83.21,324.368692,704.96
"2014-06-17",1.9,84,22,26.1,19.2,74,28,1.7,11.7,10000,0.006,347.8642949,752.96,772.9337467,264.52,2041.299343,61.82,346.018372,565.97
"2014-06-18",0.3,9,22.5,28.3,17.9,71,25,1.8,9.9,0,0,393.2666742,736.63,726.4752479,256.14,2027.043517,53.61,325.0654033,614.65
"2014-06-19",0.3,7.5,22.6,27.9,18,74,27,1.8,10.5,5833.333333,0.006,382.26985,711.07,623.8016053,258.53,2113.295316,71.37,292.5692824,635.15
"2014-06-20",1.4,15.5,22.2,26.7,18.3,76,34,1.9,11.1,10500,0.006,371.5720642,688.18,656.3273242,228.87,2574.600784,44.89,313.4858972,450.48
"2014-06-21",2.3,46,21.3,24.3,19.2,79,41,2.1,8.7,0,0,425.7464073,635.18,768.5769586,199.43,2355.68158,47.7,363.2653288,404.24
"2014-06-22",5.9,57.5,21.9,26.5,18.4,75,31,1.8,8,0,0,0,0,0,0,0,0,0,0
"2014-06-23",12.4,61,21.1,26,18.3,83,39,1.6,7.7,0,0,384.4276145,867.69,915.9180572,252.66,2362.032986,51.48,356.8409547,634.38
"2014-06-24",2.5,33,21.8,27,18,80,33,1.7,7.7,6600,4,423.0794943,614.8,733.989719,258.73,2490.530677,52.86,333.7593668,649.1
"2014-06-25",0,30,22.8,28.4,18,75,30,1.5,6.2,0,0,420.1665873,691.23,645.8562603,240.55,2329.902343,33.38,351.9107954,554.05
